title_translated,listed_price,retail_price,units_sold,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badge_product_quality,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_price,countries_shipped_to,has_urgency_banner,urgency_text,merchant_rating_count,merchant_rating,merchant_id,product_picture,product_id
2020 Summer Vintage Flamingo Print  Pajamas Set Casual Loose T Shirt Top And Elastic Shorts Women Sleepwear Night Wear Loungewear Sets,16.0,14,100,0,3.76,54,26.0,8.0,10.0,1.0,9.0,0,"('summer', 'fashion', 'womenunderwearsuit', 'printedpajamasset', 'womencasualshort', ""women's fashion"", 'flamingo', 'loungewearset', 'casual', 'shirt', 'casualsleepwear', 'shorts', 'flamingotshirt', 'elastic', 'vintage', 'tops', 'tshirtandshortsset', 'women', 'sleepwear', 'print', 'womenpajamasset', 'womennightwear', 'pajamas', 'womensleepwearset')",white,M,50,4,34,1,QuantityLimited,568,4.128521127,595097d6a26f6e070cb878d1,https://contestimg.wish.com/api/webimage/5e9ae51d43d6a96e303acdb0-medium.jpg,5e9ae51d43d6a96e303acdb0
Women's Casual Summer Sleeveless Sexy Mini Dress,8.0,22,20000,1,3.45,6135,2269.0,1027.0,1118.0,644.0,1077.0,0,"('mini', 'womens dresses', 'summer', 'patchwork', 'fashion dress', 'dress', 'mini dress', ""women's fashion"", 'women s clothing', 'backless', 'party', 'summer dresses', 'sleeveless', 'sexy', 'casual')",green,XS,50,2,41,1,QuantityLimited,17752,3.899673276,56458aa03a698c35c9050988,https://contestimg.wish.com/api/webimage/58940d436a0d3d5da4e95a38-medium.jpg,58940d436a0d3d5da4e95a38
2020 New Arrival Women Spring and Summer Beach Wear Long Thin Cardigan Open Front Kimono Green Leaf Printed Chiffon Cardigan S-5XL,8.0,43,100,0,3.57,14,5.0,4.0,2.0,0.0,3.0,0,"('summer', 'cardigan', 'women beachwear', 'chiffon', 'sexy women', 'coat', 'summercardigan', 'openfront', 'short sleeves', 'swimsuit', ""women's fashion"", 'leaf', 'green', 'printed', 'spring', 'longcardigan', 'women', 'beach', 'kimono')",others,XS,1,3,36,1,QuantityLimited,295,3.9898305080000003,5d464a1ffdf7bc44ee933c65,https://contestimg.wish.com/api/webimage/5ea10e2c617580260d55310a-medium.jpg,5ea10e2c617580260d55310a
Hot Summer Cool T Shirt for Women Fashion Tops Bee Printed Letters Short Sleeve O Neck Cotton T-shirts Tops Tee Clothing,8.0,8,5000,1,4.03,579,295.0,119.0,87.0,42.0,36.0,0,"('summer', 'shorts', 'cotton', 'cotton t shirt', 'sleeve', 'printedletterstop', 'clothing', 'tops', 'necks', 'short sleeves', ""women's fashion"", 'women clothing', 'printed', 'women', 'tshirtforwomen', 'fashion', 't shirts', 'shirt')",black,M,50,2,41,0,noText,23832,4.02043471,58cfdefdacb37b556efdff7c,https://contestimg.wish.com/api/webimage/5cedf17ad1d44c52c59e4aca-medium.jpg,5cedf17ad1d44c52c59e4aca
Women Summer Shorts Lace Up Elastic Waistband Loose Thin Casual Pants Plus Size S-8XL,2.72,3,100,1,3.1,20,6.0,4.0,2.0,2.0,6.0,0,"('summer', 'plus size', 'lace', 'casual pants', 'bottom', 'pants', 'loose', ""women's fashion"", 'shorts', 'lace up', 'elastic', 'casual', 'women')",yellow,S,1,1,35,1,QuantityLimited,14482,4.001588178,5ab3b592c3911a095ad5dadb,https://contestimg.wish.com/api/webimage/5ebf5819ebac372b070b0e70-medium.jpg,5ebf5819ebac372b070b0e70
Plus Size Summer Women Casual Sleeveless Rompers Jumpsuits Solid Color Suspender Ttrousers Loose Overalls,3.92,9,10,0,5.0,1,1.0,0.0,0.0,0.0,0.0,0,"('deep v-neck', 'summer', 'plus size', 'spaghetti strap', 'overalls', ""women's fashion"", 'sleeveless', 'women', 'casual', 'jumpsuit')",blue,XS,1,1,40,0,noText,65,3.507692308,5e4b9c3801ba9d210036fc5a,https://contestimg.wish.com/api/webimage/5ec645bafd107a02279c8c54-medium.jpg,5ec645bafd107a02279c8c54
Women Fashion Loose Lace Blouse V Neck Bat Sleeves T Shirt Hollow Out Tops Plus Size XS-8XL,7.0,6,50000,0,3.84,6742,3172.0,1352.0,971.0,490.0,757.0,0,"('blouse', 'women', 'lace t shirt', 'summer t-shirts', 'lace', 'sleeve', 'women blouse', 'loose shirt', 'short sleeve blouses', 'pure color', 'womens blouse', 'bat', 'lace shirts', 'necks', ""women's fashion"", 'plus size', 'loose t-shirt', 'short sleeve t-shirt', 'fashion', 'tops', 'shirt')",white,XS,50,2,31,0,noText,10194,4.076515597,5652f4053a698c76dc9a3f37,https://contestimg.wish.com/api/webimage/5c63a337d5e2ce4bbb3152cf-medium.jpg,5c63a337d5e2ce4bbb3152cf
Women's Baggy Tunic Dress Summer Dress Denim Dress Denim Shirt Dress Shift Dress,12.0,11,1000,0,3.76,286,120.0,56.0,61.0,18.0,31.0,0,"('jeans', 'fashion', 'tunic', 'shirt', 'summer', 'dress', 'denim', 'summer dress', 'denimjeansdres', 'short sleeves', 'casual dresses', ""women's fashion"", 'tunic dress', 'minishirtdres', 'lines', 'mididre')",blue,M,50,3,139,0,noText,342,3.68128655,5d45349676befe65691dcfbb,https://contestimg.wish.com/api/webimage/5e0ae5ebc2efb76ccf0a3391-medium.jpg,5e0ae5ebc2efb76ccf0a3391
Women's Summer Casual Dress Fashion Short Sleeve Slim Dress,11.0,84,100,1,3.47,15,6.0,2.0,3.0,1.0,3.0,0,"('slim dress', 'summer dress', 'womenshortsleevedre', 'sleeve', 'summer', 'dress', 'slim', 'short sleeves', ""women's fashion"", 'shorts', 'boho dress', 'slimfitdre', 'fashion', 'casual')",black,M,50,2,36,1,QuantityLimited,330,3.8030303030000003,5d42980e8388970d32294ddc,https://contestimg.wish.com/api/webimage/5e6f1fb7fe4a5bb4b8bf36e5-medium.jpg,5e6f1fb7fe4a5bb4b8bf36e5
Summer Women Plus Size Casual Loose V Neck Short Sleeve Floral Printed Blouse Tops,5.78,22,5000,0,3.6,687,287.0,128.0,92.0,68.0,112.0,0,"('blouse', 'summer', 'plus size', 'floral print', 'necks', 'sleeve', 'summer shirt', 'loose', 'short sleeves', 'casual', 't shirts', 'shorts', 'fashion', 'floral', 'women', ""women's fashion"", 'tops', 'printed')",brown,S,50,2,33,0,noText,5534,3.999819299,5ba2251b4315d12ebce873fa,https://contestimg.wish.com/api/webimage/5ccfaf238a8d535cec2dfb47-medium.jpg,5ccfaf238a8d535cec2dfb47
